"idBank";"Dernière mise à jour";"Puissance";"Périodicité";"Type de produit";"Nature";"Indicateur";"Zone géographique";"Unité";"Correction";"﻿Base de l'indice"
"010565753";"29/05/2020 08:45";"9";"Mensuelle";"Biens";"Valeur absolue";"Consommation mensuelle des ménages en biens";"France métropolitaine";"euros";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"2014"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
